Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
3950,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
3355,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
9032,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5177,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
0618,PRR,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
9514,PGCC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
3405,ACL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
5836,WJ&S,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
4177,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
6475,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
2398,M&P,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
8371,CNJ,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
7502,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
4885,CNJ,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
8711,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
4239,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
6820,CNJ,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
0226,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
0830,NYC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
9442,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5281,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
9818,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
2291,PL,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:40
